Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	N_markers	dN_gccons	dS_gccons	dNdS_gccons	dNdS	dS	dN	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp
Mammalia	Acinonyx_jubatus	32536	Chordata	Mammalia	Carnivora	Felidae	GCA_003709585.1	97.9	2503680000	3	0.014256148427448	0.076702587368695	0.185862679689293	0.194187582494379	0.14187603	0.0275505632796	148.893	Pantheria	17115	1217.27	0.01	NA	19	Pantheria	50500	Pantheria	61.77	AnAge	636.19	Pantheria	NA	NA	NA	5.00322792716783	2.94443897916644	10.8297286152635	262922472	10.57	10948336	0.44	7444	0	20656376	0.83	77420	0	123790256	4.98	75301376	3.02	2384	0	30219504	1.21	1919376	0.07	0.059854696365148	0.453073744116716	0.195152834934097	0	2.10828547276731	0.001282755933725	0.000347866015925	2.17416259953316E-05	0.264247722347261	1.13430411142844	1498570	11343517	4886002	0	52784722	32116	8709	544	6615917	28399345
Mammalia	Acomys_russatus	60746	Chordata	Mammalia	Rodentia	Muridae	GCA_903995435.1	7.8	2791423868.11348	706	0.017608340041737	0.131953651086527	0.133443371189405	0.119668405719926	122.174984	14.6204855541375	11.108	Pantheria	NA	NA	3430	NA	NA	NA	42.4	Pantheria	0.24	AnAge	91	AnAge	NA	NA	NA	2.40766556944455	NA	3.74714836223791	603505228	21.77	6241588	0.22	18712	0	82855112	2.98	670716	0.02	207917660	7.5	81663168	2.94	3486576	0.12	156785520	5.65	63858256	2.3	0.065788474040041	2.46292006371872	1.01818135525078	0	8.89134101303573	0.009219420987509	0.000472264326754	0.017822845027077	0.729052921119127	4.52318345580037	1836435	68750539	28421757	0	248195015	257353	13183	497511	20350957	126261223
Mammalia	Grammomys_surdaster	491861	Chordata	Mammalia	Rodentia	Muridae	GCA_004785775.1	15.3	2925942893.86169	635	0.011422685020831	0.071849400964355	0.158980936062328	0.131369149436215	63.03582465	8.2809626682809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	656995084	22.61	6207468	0.21	22060	0	153633836	5.28	843816	0.02	164708600	5.66	52310456	1.8	2946984	0.1	268850568	9.25	7464960	0.25	0.061738600415273	1.57192729153009	2.01993970752896	0	10.854370935638	0.011258328190048	0.000594562476817	0.012428273708946	0.386062841801501	6.78932810220644	1806436	45993695	59102282	0	317592695	329412	17397	363644	11295978	198651863
Mammalia	Mus_minutoides	10105	Chordata	Mammalia	Rodentia	Muridae	GCA_902729485.2	9.2	3436241895.76226	676	0.013087262743251	0.090095944361938	0.145259177157586	0.127576452391381	78.8998449	10.0657623065722	NA	NA	22.19	62	92.6	NA	3.1	Pantheria	6.44	Pantheria	0.129	AnAge	51.83	Pantheria	NA	NA	NA	NA	1.1314021114911	1.86252854011626	1085542336	31.72	17800104	0.52	71152	0	230757620	6.74	983464	0.02	266842180	7.79	115061276	3.36	6480632	0.18	441420692	12.9	6095120	0.17	0.38181311675649	3.50162325486709	3.26172440025286	0	22.5795287739336	0.021321961620469	0.002196483483516	0.068305279060548	1.87745765072698	13.4621133385477	13120022	120324245	112080740	0	775887228	732674	75476	2347135	64513986	462590779
Mammalia	Rattus_norvegicus	10116	Chordata	Mammalia	Rodentia	Muridae	GCA_015227675.2	11.7	2982900000	668	0.013286023902012	0.090361345435731	0.1470321611298	0.119685528843043	87.5395222	10.4772140091743	NA	NA	NA	91.25	NA	NA	3.8	AnAge	283	Pantheria	1.404	AnAge	47.68	Pantheria	NA	NA	NA	NA	1.33500106673234	5.64544689764324	642935628	21.7	6924868	0.23	12012	0	120948568	4.08	1931360	0.06	308902944	10.42	69834512	2.35	2682600	0.09	126083856	4.25	5569420	0.18	0.065861931993003	4.09647179603136	1.56674382174483	0	9.59129560208467	0.016825902556968	0.000265572306423	0.013885637735852	0.475943512011646	3.33408958209162	1964596	122193657	46734401	0	286098757	501900	7922	414195	14196919	99452558
Mammalia	Arvicola_amphibius	1047088	Chordata	Mammalia	Rodentia	Cricetidae	GCA_903992535.2	11.4	2786877895.69857	670	0.006251566485192	0.033180046822452	0.188413431682134	0.147453359809425	33.4503935831683	4.93237292078581	NA	NA	NA	NA	NA	NA	2.5	AnAge	120	AnAge	0.613	AnAge	48	AnAge	NA	NA	NA	NA	0.916290731874155	4.78749174278205	525901804	19	6257672	0.22	18292	0	191556952	6.92	366484	0.01	119261996	4.3	69085152	2.49	3425196	0.12	131688956	4.75	4234372	0.15	0.056515320902022	1.37654439180662	1.76354566211456	0	7.59932387499511	0.005167703295595	0.000185296134105	0.016450179016654	0.446748979327128	3.93330162710594	1575013	38362611	49147864	0	211783877	144018	5164	458446	12450349	109616314
Mammalia	Microtus_agrestis	29092	Chordata	Mammalia	Rodentia	Cricetidae	GCA_902806775.1	14.4	3344760000	651	0.005013803266332	0.020523837511635	0.244291705364047	0.164824141656199	19.2208367309532	3.16805791609331	NA	NA	NA	52.5	1980	NA	3.3	Pantheria	35.9	Pantheria	0.367	AnAge	35.83	Pantheria	NA	NA	NA	NA	1.19392246847243	3.58073729549423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Microtus_oregoni	111838	Chordata	Mammalia	Rodentia	Cricetidae	GCA_018167655.1	20.9	2885100000	606	0.003852936398091	0.019168135704512	0.201007362295769	0.173742177884153	16.3307302411675	2.83733663853904	9.931	Pantheria	NA	NA	543	NA	1.25	Pantheria	20.4	Pantheria	NA	NA	27.59	Pantheria	NA	NA	NA	2.29566117792122	0.22314355131421	3.01553490085017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Microtus_fortis	100897	Chordata	Mammalia	Rodentia	Cricetidae	GCA_014885135.1	11.1	2655816075.7829	666	0.004363947481481	0.021383706734864	0.204078157991464	0.165473270911821	20.2542124139858	3.35153077788502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114.06	Pantheria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia	Myodes_glareolus	447135	Chordata	Mammalia	Rodentia	Cricetidae	GCA_004368595.1	11	2906045202.9796	538	0.008291150448622	0.054314224178467	0.152651548908789	0.163255403717864	31.0632435308519	5.07124236341555	NA	NA	NA	NA	NA	NA	4.9	AnAge	20.8	AnAge	0.312	AnAge	59.5	AnAge	NA	NA	NA	NA	1.58923520511658	3.03495298670727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
