Phylum	SubPhylum	Class	Order	Family	Species	Accession_assembly	Assembly_size	Reads_assembly	Cvalue	Chromnum	Method	Celltype	Stdsp	Date	Reference	Notes
Chordata	Vertebrata	Aves	Accipitriformes	Accipitridae	Haliaeetus leucocephalus	GCA_000737465.1	1178409481	SR	1398540000	66	FCM	RBC	GD, HS, V	1990	Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.	one measure
Chordata	Vertebrata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser ruthenus	GCA_010645085.1	1830501248	LR-SR	1828860000	118	FCM	RBC	XL	1993	Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.	one measure
Chordata	Vertebrata	Actinopteri	Acipenseriformes	Polyodontidae	Polyodon spathula	GCA_017654505.1	1542083420	SR	1975560000		FCM	RBC	AR	1993	Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.	average of most recent ones
Cnidaria		Anthozoa	Actiniaria	Actiniidae	Actinia equina	GCA_011057435.1	409058306	LR	508560000		FCM	TN, WB	HDH	2017	Adachi, K., H. Miyake, T. Kuramochi, K. Mizusawa, and S.-i. Okumura (2017). Genome size distribution in phylum Cnidaria. Fisheries Science 83: 107-112.	one measure
Chordata	Vertebrata	Actinopteri	Anabantiformes	Channidae	Channa argus	GCA_018997905.1	623704440	LR-SR	860640000		FCM	RBC	GD	2012	Zhu, D., W. Song, K. Yang, X. Cao, Y. Gul, and W. Wang (2012). Flow cytometric determination of genome size for eight commercially important fish species in China.	one measure
Chordata	Vertebrata	Actinopteri	Anguilliformes	Anguillidae	Anguilla anguilla	GCA_013347855.1	979045926	LR-SR	1193160000		FCM	RBC	HS	2005	Peruzzi, S., B. Chatain, and B. Menu (2005). Flow cytometric determination of genome size in European seabass (Dicentrarchus labrax), gilthead seabream (Sparus aurata), thinlip mullet (Liza ramada), and European eel (Anguilla anguilla). Aquatic Living Res	one measure
Chordata	Vertebrata	Aves	Anseriformes	Anatidae	Anas platyrhynchos	GCA_015476345.1	1188533289	LR	1457220000		FCM	RBC	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	most recent
Chordata	Vertebrata	Aves	Anseriformes	Anatidae	Cygnus atratus	GCA_013377495.1	1122279392	LR	1418100000		FCM	RBC	GD, HS, V	1990	Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.	one measure
Chordata	Vertebrata	Aves	Anseriformes	Anatidae	Cygnus buccinator	GCA_019232035.1	1183613454	SR	1506120000		FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Aves	Anseriformes	Anatidae	Cygnus olor	GCA_009769625.2	1134186642	LR-SR	1447440000	80	FCM	RBC	GD, HS, V	1991	Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.	one measure
