Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	n_markers	dS_sum	dN_sum	dS_ratesmean	dN_ratesmean	dNdS_ratesmean	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp	n_markers_phylter_noshortbr	dN_CM_phylter_noshortbr	dS_CM_phylter_noshortbr	dNdS_CM_phylter_noshortbr	n_markers_phylter_noshortbr_gcpoor	dN_CM_phylter_noshortbr_gcpoor	dS_CM_phylter_noshortbr_gcpoor	dNdS_CM_phylter_noshortbr_gcpoor	n_markers_phylter_noshortbr_gcrich	dN_CM_phylter_noshortbr_gcrich	dS_CM_phylter_noshortbr_gcrich	dNdS_CM_phylter_noshortbr_gcrich	brlen_coevol_gcpoor	dS_coevol_gcpoor	dNdS_coevol_gcpoor	brlen_coevol_gcrich	dS_coevol_gcrich	dNdS_coevol_gcrich
Actinopteri	Acipenser_ruthenus	7906	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	GCA_010645085.1	69.2	1819080000	269	149.103859	14.6999031796	0.55428943866171	0.054646480221561	0.098588348270718	125	FishBase	NA	NA	NA	NA	46.1	AnAge	8800	AnAge	NA	NA	1794.5	AnAge	1	NA	NA	4.8283137373023	3.8308129500026	9.0825070004663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	243	1.64602443106479	1.64602443106479	0.098581732421758	12	1.42072503560234	1.42072503560234	0.111016696252252	14	1.60049365586481	1.60049365586481	0.0749766194057501	NA	NA	NA	NA	NA	NA
Actinopteri	Alosa_alosa	278164	Chordata	Actinopteri	Clupeiformes	Clupeidae	GCA_017589495.1	3.4	1040171506.31597	855	249.72252202975	21.6656147950472	0.292073125180994	0.025339900345084	0.086758753751759	69	FishBase	NA	NA	NA	NA	10	AnAge	2200	AnAge	NA	NA	1459.5	AnAge	10	300	290	4.23410650459726	2.30258509299405	7.69621263934641	271271996	26.26	22169720	2.14	1543580	0.14	5604996	0.54	2076364	0.2	17471428	1.69	3306356	0.32	32448	NA	211585484	20.48	7481620	0.72	1.3743223081308	1.44287724422051	0.433840994454894	NA	18.804199903185	0.152368180838895	0.089830605910661	0.002471416191322	0.130017982239114	15.1784711711988	14295309	15008398	4512690	NA	195595929	1584890	934392	25707	1352410	157882132	750	0.835772749315628	0.835772749315628	0.087117874396229	47	0.807184694677853	0.807184694677853	0.106605100424673	47	0.862392393751012	0.862392393751012	0.0642580272664481	0.399485	0.617282	0.101877	0.382702	0.672561	0.0666301
Actinopteri	Coilia_nasus	365059	Chordata	Actinopteri	Clupeiformes	Engraulidae	GCA_007927625.1	3.1	988808384.468383	817	257.5086824	22.804386300484	0.315188105752754	0.027912345533028	0.088557737502073	41	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	50	3.71357206670431	NA	NA	287107128	29.27	30609940	3.12	3459748	0.35	11665908	1.18	442896	0.04	21197440	2.16	2848464	0.29	390736	0.03	212823184	21.69	3668812	0.37	1.78255761663293	1.66422455538718	0.910308246857889	NA	18.4577541456633	0.021833776852791	0.23140798815768	0.027141988656452	0.083328909823497	13.7366505984758	17626079	16455992	9001204	NA	182511821	215894	2288182	268382	823963	135829153	716	0.900249874793759	0.900249874793759	0.088542904918687	43	0.9169104140811	0.9169104140811	0.13411434494022	46	0.888184094252823	0.888184094252823	0.0681090986786812	0.399485	0.65441	0.140927	0.382702	0.704167	0.0727599
Actinopteri	Denticeps_clupeoides	299321	Chordata	Actinopteri	Clupeiformes	Denticipitidae	GCA_900700375.2	8.5	692590625.072145	836	475.365816	39.1742756096	0.568619397129187	0.046859181351196	0.082408693033998	15	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.70805020110221	NA	NA	125074688	18.18	18225672	2.65	28252	NA	4177632	0.6	144044	0.02	9641632	1.4	8029888	1.16	255948	0.03	77097696	11.21	7473924	1.08	1.18622593049124	0.746864804783863	0.433140662675749	NA	10.4362181549124	0.015633005776846	0.002946535120243	0.024227066544222	0.651266109771529	7.37583219155097	8215690	5172716	2999892	NA	72280269	108273	20407	167794	4510608	51084322	732	1.67475939225709	1.67475939225709	0.082647586574661	44	1.66436120556989	1.66436120556989	0.10989148193619	49	1.80951623848853	1.80951623848853	0.0606847936331847	0.774449	0.76567	0.102934	0.767627	0.757437	0.0614366
Actinopteri	Ameiurus_melas	219545	Chordata	Actinopteri	Siluriformes	Ictaluridae	GCA_012411365.1	2.7	1075800000	898	55.1610530405209	7.30759820977633	0.061426562405925	0.008137637204651	0.132477496475787	66	FishBase	NA	NA	NA	NA	10	AnAge	1995.5	AnAge	NA	NA	730	AnAge	10	NA	NA	4.18965474202643	2.30258509299405	7.59864992448879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	786	0.176215510217015	0.176215510217015	0.131910077894169	48	0.187066233745118	0.187066233745118	0.212670264995437	49	0.20030177985143	0.20030177985143	0.0841509071922682	0.066323	0.836513	0.210303	0.0705192	0.905458	0.0968678
Actinopteri	Ictalurus_punctatus	7998	Chordata	Actinopteri	Siluriformes	Ictaluridae	GCA_001660625.2	6	1026900000	870	38.909003484762	5.23598694786599	0.044722992511221	0.006018375802145	0.134570060369615	NA	NA	NA	NA	NA	NA	16	AnAge	13732.5	AnAge	NA	NA	NA	NA	NA	NA	NA	NA	2.77258872223978	9.52752056521678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	755	0.123742624183156	0.123742624183156	0.138928515763646	46	0.117350542612772	0.117350542612772	0.179219696588612	48	0.133591509380471	0.133591509380471	0.0908206497634601	0.066323	0.578366	0.204719	0.0705192	0.581822	0.0998185
Actinopteri	Pangasianodon_hypophthalmus	310915	Chordata	Actinopteri	Siluriformes	Pangasiidae	GCA_009078355.1	2.5	924435667.26418	908	74.23378363286	9.66250684904748	0.081755268318128	0.010641527366792	0.130163200313695	130	FishBase	NA	NA	NA	NA	NA	NA	44000	FishBase	NA	NA	NA	NA	NA	NA	NA	4.86753445045558	NA	10.6919449129004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	796	0.24232914039929	0.24232914039929	0.129741333283488	48	0.225612606985497	0.225612606985497	0.171710127174142	49	0.250759293304748	0.250759293304748	0.092954602240613	0.213745	0.356978	0.183271	0.206009	0.397869	0.0991333
Actinopteri	Silurus_meridionalis	175797	Chordata	Actinopteri	Siluriformes	Siluridae	GCA_014805685.1	2	904593859.599561	899	213.223334526647	21.5744277284314	0.237178347638095	0.023998251088355	0.101182301535272	114.199996948242	FishBase	NA	NA	NA	NA	NA	NA	10800	FishBase	NA	NA	NA	NA	NA	NA	NA	4.73795127049898	NA	9.28730141311231	249910208	27.82	65700688	7.31	857272	0.09	16473068	1.83	135448	0.01	29146400	3.24	2296432	0.25	189040	0.02	130299308	14.5	4812552	0.53	2.07660659470932	1.36997373701623	0.76713140738119	NA	11.0535993881564	0.011083236329502	0.056395915245696	0.00979733598188	0.037229876731143	6.72538128476141	18784856	12392698	6939424	NA	99990181	100258	510154	88626	336779	60837386	787	0.70342494533269	0.70342494533269	0.101943055929256	49	0.671771077922786	0.671771077922786	0.14141408932503	49	0.790616987232586	0.790616987232586	0.0806632045590349	0.249758	0.919033	0.143137	0.251424	0.988562	0.0874135
Actinopteri	Bagarius_yarrelli	175774	Chordata	Actinopteri	Siluriformes	Sisoridae	GCA_005784505.1	1.7	696692420.797798	892	248.2744338	24.004873686485	0.278334567040359	0.026911293370499	0.09668685300808	200	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.29831736654804	NA	NA	135388572	19.6	31798652	4.6	38680	NA	6592824	0.95	25580	NA	17627876	2.55	5166836	0.74	95360	0.01	67487976	9.77	6554788	0.94	0.731267025533412	1.28898765689559	0.551268850279577	NA	8.34573726262007	0.001498898635351	0.003062966776586	0.002411271717738	0.149629185511515	5.61761140727031	5094682	8980279	3840648	NA	58144119	10443	21339	16799	1042455	39137473	784	0.824400908243035	0.824400908243035	0.097954108712509	48	0.860831343864938	0.860831343864938	0.134642935996172	48	0.886939737054322	0.886939737054322	0.0707330186905641	0.3106	0.9308	0.136693	0.304125	0.926808	0.0735087
Actinopteri	Beaufortia_kweichowensis	241442	Chordata	Actinopteri	Cypriniformes	Gastromyzontidae	GCA_019155185.1	2.6	548740786.781345	906	156.3199945	17.744461612116	0.172538625275938	0.019585498468119	0.113513704173755	8	FishBase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07944154167984	NA	NA	99229884	18.21	14227104	2.61	822840	0.15	8677100	1.59	3976	NA	8054032	1.47	409480	0.07	16496	NA	65345304	11.99	1673552	0.3	0.945240592590754	1.12750300495067	1.04402640632726	NA	12.8575684415012	0.000620643855936	0.067960502225008	0.001965372210464	0.040031528707882	9.63022039063324	5186921	6187069	5728999	NA	70554722	3406	372927	10785	219669	52844947	796	0.525121486416737	0.525121486416737	0.111832927273191	50	0.486494583004647	0.486494583004647	0.154143172842934	49	0.542987255378934	0.542987255378934	0.0913002748667364	0.324814	0.47706	0.17332	0.321528	0.495086	0.0986367
